en,es_la,Pt_br,ru,tk,zh_tw,zh
,Preguntas Ilimitadas,Perguntas Ilimitadas,Неограниченное Количество Вопросов, Sınırsız Sorular,,问题设置无限制
,Plantillas escritas por expertos,Modelos escritos por especialistas,"Шаблоны, созданные экспертами",Uzman Tarafından Yazılmış Şablonlar,,专业的文字模板
,Logica de encuesta,Lógica de pesquisa,Логика опроса,Anket mantığı,,调查问卷使用逻辑
,Seguimiento y Análisis,Acompanhamento e Análise,Мониторинг И Аналитика, İzleme ve Analiz,,数据追踪 & 分析
,Evalúa,Avalie,Оценивайте,Değerlendir,,评估
,Comprende el impacto <br>de tus eventos,Entenda o Impacto <br> Dos Seus Eventos,Осознайте значимость <br>ваших мероприятий,Etkinliklerinizin Etkisini <br> Anlayın,,全方位洞悉您的<br>活动影响力
"Analyze performance with powerful dashboards and reports to get insights into your attendees' activity from events, email marketing, sales, or finance.","Analiza tu rendimiento con paneles e informes potentes para descubrir tendencia sobre la actividad de tus asistentes en eventos, marketing por correo electrónico, ventas o finanzas.","Analise seu desempenho com poderosos painéis de controle e relatórios para obter informações sobre a atividade do participante em eventos, email marketing, vendas ou finanças.","Анализируйте свою производительность с помощью мощных информационных панелей и отчетов, чтобы получить представление о деятельности ваших участников мероприятий, email маркетинга, продаж или финансов.","Etkinlikler, e-posta pazarlaması, satışlar veya finanstan katılımcınızın etkinliğine ilişkin içgörüler elde etmek için güçlü gösterge tabloları ve raporlarla performansınızı analiz edin.",,功能强大的控制面板和反馈报告，将从活动、营销邮件、销售进度，以及财务管理等方面，为您提供全方位的数据分析，帮助您更加深入地了解每一位参会者。
,Información de ROI,Insights de ROI,Информация о возврате инвестиций,Yatırım Getirisi İçgörüleri,,ROI 分析洞察
,Análitica de correo electrónico,Análise de Email,Аналитика рассылок,E-posta Analizi,,营销邮件数据分析
,Facturas y recibos automáticos,Faturas e recebimentos automáticos,Автоматические счета и квитанции, Otomatik Faturalar ve Makbuzlar,,自动化开具发票与收据
,Escala,Aumente a Escala,Масштабируйте,Çoğaltın,,规模发展
,Se mejor <br>y hazlo de nuevo,Melhore <br> e Vá Novamente,"Станьте лучше, <br> станьте активнее",Daha İyi <br> Olun ve Tekrar Başlayın,,为下次活动，<br>优化准备
,Convierte tus eventos más exitosos en plantillas.,Converta seus eventos de maior sucesso em templates.,Преобразуйте ваши самые успешные мероприятия в шаблоны.,En başarılı etkinliklerinizi şablonlara dönüştürün.,,可将您成效卓越的活动页面制成活动模板，方便后续使用。
,"Realiza ediciones rápidas y organiza nuevos eventos con procesos similares de registro, precios, patrocinadores e invita a asistentes nuevos y anteriores para ahorrar aún más tiempo.","Faça edições rápidas e organize novos eventos com processos similares de registro, preços, patrocinadores e convide participantes novos e anteriores para economizar ainda mais tempo.","Делайте быстрые правки и проводите новые мероприятия с аналогичными процессами регистрации, ценообразованием, спонсорами, а также приглашайте новых и предыдущих участников, чтобы сэкономить еще больше времени."," Hızlı düzenlemeler yapın ve benzer kayıt süreçleri, fiyatlandırma, sponsorlar ile yeni etkinlikler düzenleyin ve daha fazla zaman kazanmak için yeni ve önceki katılımcıları davet edin.",,您可选择使用与之前活动相似的模板以提高效率、节省时间。快速进行页面编辑，完成注册流程设置、定价、赞助商信息填写，并邀请往期活动参与者或新的联系人参加活动。
,Duplicación de eventos fácil,Duplicação Fácil de Evento,Простое копирование мероприятий, Kolay Etkinlik Kopyalama,,轻松复制往期活动模板与信息
,Glue Up CRM,Glue Up CRM,Glue Up CRM,Glue Up CRM,,Glue Up CRM
,Multi-lenguaje,Suporte Multilíngue,Поддержка на нескольких языках,Çoklu Dil Desteği,,多语言支持
,Planos de evento,Projetos de eventos,Макеты мероприятия,Etkinlik Planları,,活动模板
,Canal de oportunidades,Pipeline de Oportunidades,План возможностей,Fırsatlar Hattı,,机会漏斗
,"¡En sus marcas, listos, fuera! Así de fácil","Preparar, apontar, vá! Fácil assim.","На старт, внимание, марш! Это так просто","Hazır, başla! Bu kadar kolay",,从活动创建到成功上线，给您从未有过的流畅操作体验
,Eventos en línea,Eventos Online,Онлайн мероприятия,Çevrimiçi Etkinlikler,,线上活动
,Monetiza y resalta <br>tus webinars,Rentabilize e Aprimore <br> Seus Webinars,Монетизация и улучшение Ваших вебинаров,Para Kazanın ve Web Seminerlerinizi Geliştirin <br>,,助力您提升线上会议与活动的体验，提升投资回报率
,Ejecuta seminarios web y otros eventos en línea desde una plataforma todo en uno. Brinda una experiencia premium y fluida a los asistentes y exposición de marketing a tus patrocinadores y socios.,Execute webinars e outros eventos online em uma plataforma All-in-One. Forneça uma experiência fluida para os participantes e exposição de marketing para seus patrocinadores e parceiros.,Запускайте вебинары и другие онлайн-мероприятия с универсальной платформы. Обеспечьте премиальный и безупречный опыт участникам и маркетинг для ваших спонсоров и партнеров., Hepsi bir arada bir platformdan web seminerleri ve diğer çevrimiçi etkinlikleri çalıştırın. Katılımcılara birinci sınıf ve sorunsuz bir deneyim ve sponsorlarınıza ve ortaklarınıza pazarlama deneyimi sunun.,,在 Glue Up 一体化云平台举办线上会议和活动，为参会者提供优质、无缝的体验，并提升赞助商和合作伙伴的营销曝光率。
,Opciones premium de marca,Opções Premium de Branding,Опция премиального брендинга,Premium Marka Seçenekleri,,高级品牌推广
,Promoción de patrocinio,Promoção do Patrocinador,Спонсорская Акция,Sponsor Tanıtımı,,赞助商推广
Attendee Chat,Experiencia del asistente,Chat para participantes,Чат участников,Katılımcı Sohbeti,,参会者互动聊天
,Documentos de seminarios web,Documentos do Webinar,Документы Вебинара,Web Semineri Belgeleri,,线上会议与活动资料
,Conoce más sobre como las asociaciones utilizan Glue Up,Saiba mais sobre Associações e Glue Up,Узнать больше об ассоциациях и Glue Up,İlişkilendirmeler ve Yapıştırıcı hakkında daha fazla bilgi edinin,,了解更多有关协会与 Glue Up 的资讯
,Una solución todo en uno que te ayuda a ahorrar tiempo y a concentrarte en tu misión mientras mantienes a todos en la misma página.,"Uma solução All-in-One que ajuda você a economizar tempo e se concentrar em sua missão, enquanto mantém todos na mesma página.","Универсальное решение, которое поможет вам сэкономить время и сосредоточиться на своей миссии, позволяя быть со всеми на одной волне.", Herkesi aynı noktada tutarken zamandan tasarruf etmenize ve görevinize odaklanmanıza yardımcı olan hepsi bir arada bir çözüm.,,Glue Up 一体化云平台，各模块数据互联并实时更新，帮助您节省工作时间，提升您团队的协作与管理效率。
,"Permite que tu comunidad interactue. <span class=""line""><ins> Donde sea </ins></span>","Permita que sua comunidade se envolva. <span class=""line""><ins> Em qualquer lugar. </ins></span>","Предоставьте возможность взаимодействия своему сообществу, <span class=""line""><ins> из любой точки мира </ins></span>","Topluluğunuzun Etkileşime Girmesini Sağlayın. <span class = ""line""> <ins> Her Yerde </ins> </span>",,"<span class=""line""><ins>随时随地</ins></span>赋能社群，提升互动。"
,"Brinda a tus asistentes y miembros una manera fácil de participar, establecer contactos y recibir información importante sin importar dónde se encuentren.","Ofereça aos seus participantes e membros uma maneira fácil de se engajar, interagir e receber informações importantes, não importa onde estejam.","Предоставьте вашим участникам мероприятия и членам простой способ общаться и получать важную информацию, где бы они ни находились."," Katılımcılarınıza ve üyelerinize, nerede olurlarsa olsunlar etkileşim kurmaları, ağ kurmaları ve önemli bilgileri almaları için kolay bir yol sağlayın.",,无论您的会员身在何处，都可随时随地参与社群线上互动社交，接收重要通知与推送提醒。
,Aplicación móvil todo en uno,Aplicativo móvel All-in-One,Мобильное приложение «всё-в-одном»,Hepsi Bir Arada Mobil Uygulama,,一体化移动端 App
,Usa aplicaciones para dispositivos móviles amigables para tus comunidades que vienen con cada solución de Glue Up. ,Aplicativo móvel com interface amigável para suas comunidades que vem com todas as soluções Glue Up.,"Удобное мобильное приложение для ваших сообществ, которое прилагается к каждому Glue Up решению.",Her Glue Up çözümüyle birlikte gelen topluluklarınız için kullanıcı dostu mobil uygulama.,,Glue Up 所有解决方案均实现 PC 端与移动端 App 页面的自动适配，可让您的社群会员随时随地便捷使用。
Do It All From One Place,Hazlo todo desde un solo lugar ,Faça tudo de um só lugar,Делайте все с помощью одного решения,Hepsini tek bir yerden yapın,,一体化云平台，满足您的全部需求
,Una sola aplicación móvil que tiene todo lo que tu comunidad necesita para obtener maximizar participación.,Um único aplicativo móvel que tem tudo o que sua comunidade precisa para o máximo engajamento.,"Комплексное мобильное приложение, в котором есть все необходимое для максимальной вовлеченности вашего сообщества.", Topluluğunuzun maksimum etkileşim için ihtiyaç duyduğu her şeye sahip tek bir mobil uygulama.,,最大化促进社群互动，满足社群发展需求，只需使用 Glue Up 移动端 App。
,"Una experiencia de usuario premium, probada en batalla para asegurar confort absoluto para ti, tus asistentes y toda tu comunidad.",Premium user experience battle-tested for your attendees’ and members’ absolute comfort. ,"Премиальный пользовательский опыт, опробованный на нас самих, для вашего абсолютного комфорта и комфорта участников мероприятий и членов вашей организации.",Katılımcılarınızın ve üyelerinizin mutlak rahatlığı için birinci sınıf kullanıcı deneyimi savaşta test edilmiştir.,,Glue Up 云平台优质且流畅的用户体验，受到了全球众多客户的高度认可，不仅为您提供便捷的操作，更帮助您为您的目标受众带去不一样的体验。
Activate Engagement,Activar Compromiso ,Ative o engajamento,Активизируйте взаимодействие,Katılımı etkinleştirin,,激活互动功能
Give your community a digital space where they can share their ideas and stay social even when meeting in person is not possible. ,Brinda a tu comunidad un lugar digital donde puedan compartir sus ideas y mantenerse social incluso cuando no sea posible reunirse en persona.,"Dê à sua comunidade um local digital onde eles possam compartilhar suas ideias e socializarem, mesmo quando não for possível se encontrar pessoalmente.","Предоставьте вашему сообществу цифровую платформу, где они смогут обмениваться идеями и встречаться онлайн, даже если личная встреча невозможна.","Topluluğunuza, yüz yüze görüşmek mümkün olmadığında bile fikirlerini paylaşabilecekleri ve sosyal kalabilecekleri dijital bir yer verin.",,为您的社群提供一个即使无法线下碰面，也能 365 天与您的组织进行互动的线上云平台。
,Mantén a tus invitados al corriente todo el tiempo durante tus eventos físicos o virtuales y comparte herramientas con ellos para crear conexiones y mantenerse conectados donde sea.,Mantenha seus participantes atualizados em todos os momentos durante seus eventos físicos e virtuais e forneça a eles meios para construir relacionamentos e permanecer conectados de qualquer lugar.,Держите участников мероприятий в курсе событий в любое время во время мероприятий и вебинаров и предоставляйте им возможность выстраивать деловые взаимоотношения и оставаться на связи из любой точки мира., Fiziksel ve sanal etkinlikleriniz sırasında katılımcılarınızı her zaman güncel tutun ve onlara ilişkiler kurmaları ve her yerden bağlantıda kalmaları için araçlar verin.,,不论是线上活动，还是线下活动，您的参会者都能实时查看最新信息，接收通知提醒，并通过 Glue Up 移动端 App 与您及其他参会者随时随地高效互动。
,Documentos de las Sesiones<br> & Presentaciones,Documentos de Sessão <br> e Apresentações,Документы сессии <br> и презентации,Oturum Belgeleri <br> ve Sunumlar,,会议文件 & 演讲资料
,Biografía y Mapa de los Ponentes,Biografias de palestrantes e mapas ,Биографии докладчиков и карты,Konuşmacı biyografileri ve haritaları,,演讲嘉宾资料与活动地图
,Muro de publicaciones en vivo,Mural do Eventos Ao Vivo,Доска обсуждений мероприятия,Canlı Etkinlik Duvarları,,动态活动交流墙
,Registros de <br>Códigos QR sin problemas,Check-ins <br> Fluidos por QR Code,Моментальная <br> проверка билетов с помощью QR-кода,Sorunsuz <br> QR Kodu Check-in'leri,,二维码流畅签到
,Proporcionar<br> un valor adicional a los miembros,Forneça <br> Valor Extra aos Membros,Предоставьте<br> членам дополнительную пользу,Üyelere <br> Ekstra Değer Sağlayın,,为您的会员提供更多价值
Spoil your members like never before with an all-in-one app that lets them get the most of their memberships from palm of their hand. ,Mima a tus miembros como nunca lo habías hecho con una aplicación todo-en-uno que les permite obtener más de su membresía desde la palma de su mano.,Cative seus membros como nunca antes com um aplicativo All-in-One que permite que eles obtenham o melhor de suas assinaturas na palma da mão.,"Удивляйте членов своей организации, как никогда раньше, с помощью универсального приложения, которое позволяет им получать выгоду буквально у себя на ладони.",Üyeliklerinin çoğunu avuçlarının içinden almalarını sağlayan hepsi bir arada bir uygulama ile üyelerinizi daha önce hiç olmadığı kadar şımartın.,,Glue Up 移动端 App，让您的会员可以随时随地获取组机构织最新资讯，并保持会员间高效互动。
,Perfil de miembros y tarjetas de membresía,Perfil de Membro e Cartão de Membro,Профиль члена и членская карточка,Üye Profili ve Üyelik Kartı,,会员资料 & 会员卡
,Boletines y Notificaciones,Boletins Informativos e Notificações,Новости и уведомления,Bültenler ve Bildirimler,,最新资讯 & 推送提醒
Make it your business to enable everyone in your community to develop lasting relationships with you and each other.,Que el objetivo de tu organización sea que tus miembros puedan desarrollar relaciones duraderas contigo y tu comunidad,Faça com que seja seu negócio permita que todos em sua comunidade desenvolvam relacionamentos duradouros com você e entre si.,Сделайте это своим приоритетом - позволить всем членам вашего сообщества развивать прочные отношения с вами и друг с другом., Topluluğunuzdaki herkesin sizinle ve birbirinizle kalıcı ilişkiler geliştirmesini sağlamak için işinizi yapın.,,赋能您的会员更多价值，提升互动，变革社群关系管理。
,Chats 1 a 1,Chats um-a-um,Чаты «1-на-1»,Birebir Sohbetler,,1对1聊天功能
,Perfil de contacto,Perfil de Contatos,Профиль контакта,İletişim Profili,,联系人资料
,Muestre a los Patrocinadores,Patrocinadores de Demonstração,Показывайте спонсоров,Vitrin Sponsorları,,赞助商信息展示
,Aumento tus ingresos,Aumente a receita,Увеличьте доход, Geliri Arttırın,,提升收入
,"Monetiza tu app dándole a tus patrocinadores visibilidad con banners, perfiles y notificaciones.","Rentabilize o aplicativo dando aos seus patrocinadores visibilidade no aplicativo com anúncios em banner, perfis e notificações push.","Монетизируйте приложение, предоставив вашим спонсорам видимость в приложении с помощью баннерной рекламы, профилей и push-уведомлений."," Banner reklamlar, profiller ve push bildirimleriyle sponsorlarınıza uygulama içi görünürlük sağlayarak uygulamadan para kazanın.",,您可以在 App 内的页面中增加赞助商广告，曝光更多赞助商信息，发布推送通知等，获取更多收益。
,Perfil del patrocinador <br>& expositor,Perfis do <br> Patrocinador e do Expositor,Профили спонсоров и экспонентов,Sponsor <br> ve Katılımcı Profilleri,,赞助商 & 参展商信息
,Membresías<br> y directorio de exhibidores,Lista de Associações <br> e Expositores,Каталог членств и экспонентов, Üyelik <br> ve Katılımcı Rehberi,,会员 & 赞助商名录
,Empuja <br>Notificaciones,Notificações <br>Push,Push-уведомления,Bildirimleri Gönderin,,推送提醒
,Seguimiento de ROI,Acompanhamento de ROI,Отслеживание рентабельности инвестиций,Yatırım Getirisi İzleme,,ROI 追踪
,White-label App,Aplicativo White-label,White-Label Приложение,Beyaz etiketli Uygulama,,可为您实现 App Logo 定制化
,Personaliza la aplicación de Glue Up,Faça o aplicativo Glue Up seu próprio aplicativo,Сделай Glue Up App своим,Glue Up Uygulamasını Kendin Yap,,将 My Glue Up 变成您自己的品牌 App
,Crea una experiencia unificada y atractiva que este alineada con tus requisitos de marca para todos tus eventos.,Crie uma experiência unificada e envolvente alinhada com os requisitos de sua marca para todos os seus eventos.,"Создавайте целостное и запоминающееся впечатление, соответствующее вашими требованиями к брендингу для всех ваших мероприятий.",Tüm etkinlikleriniz için marka gereksinimlerinize uygun birleşik ve ilgi çekici bir deneyim oluşturun.,,为您的每一场活动都打造出符合您品牌调性和活动需求的优质互动体验。
,Pantalla de inicio de sesión personalizada,Tela de Login Personalizada,Настраиваемый экран входа в систему,Özel giriş ekranı,,自定义登陆页面
,Fuentes y Colores,Fontes & Cores,Шрифты и цвета,Yazı Tipleri ve Renkler,,字体 & 颜色
,Logos,Logos,Логотипы,Logolar,,Logo
,Diseños personalizables,Layouts Personalizáveis,Настраиваемые макеты,Özelleştirilebilir Düzenler,,自定义布局
,Reserva una demo,Agende uma demonstração,Заказать демо,Demo Ayırtın,,预约线上产品演示
,"Haz <span class=""line""><ins>Mejores </ins></span><br> Programas de Entrenamiento","Execute os <span class=""line""><ins>Melhores</ins></span><br> Programas de Treinamento","Запустите <span class = ""line""> <ins> Better </ins> </span> <br> учебные программы","<Span class = ""line""> <ins> Daha İyi </ins> </span> <br> Eğitim Programlarını Çalıştırın",,"让您课程培训的运营管理，<span class=""line""><ins>更加高效。</ins></span>"
,Administra y escala tus cursos de capacitación y certificación facilmente.,Gerencie e amplie seus treinamentos e cursos de certificação facilmente.,С легкостью управляйте и масштабируйте свои тренинги и сертификационные курсы.,Eğitimlerinizi ve sertifika kurslarınızı kolayca yönetin ve ölçeklendirin.,,轻松管理您的培训认证课程，并实现规模化发展。
,Transforma tus programas de entrenamiento,Transforme Seus Programas de Treinamento,Трансформируйте ваши учебные программы,Eğitim Programlarınızı Dönüştürün,,变革您的培训管理模式
"Powerful APIs, widgets and integrations to acquire, engage and retain more customers as well as manage your data without complexities.","APIs poderosos, herramientas e integraciones para adquirir, emocionar y retener más clientes mientras administras tus datos sin complejidad.","APIs, widgets e integrações poderosas para adquirir, envolver e reter mais clientes, bem como gerenciar seus dados sem complexidades.","Мощный API, виджеты и интеграция для привлечения, взаимодействия и построения прочных отношений с большим числом клиентов, а также для управления вашими данными без каких-либо сложностей."," Daha fazla müşteri edinme, etkileşim kurma ve elde tutmanın yanı sıra verilerinizi karmaşıklık olmadan yönetmek için güçlü API'ler, widget'lar ve entegrasyonlar.",,Glue Up 强大的 API、功能集成，及高效工具，可助力您轻松实现吸引和留存更多客户。
,Registros,Inscrições,Регистрации,Kayıtlar,,注册
,Recopila Dinero y Registros Fácilmente,Colete dinheiro e registros facilmente,Cобирайте оплаты и регистрационные данные без особых усилий,Kolayca Para ve Kayıt Toplayın,,轻松收集票款与注册信息
,"Acepta y administra registros, pagos y facturación digital para sus cursos y eventos de CPD en y fuera de línea automáticamente.","Aceite e gerencie registros, pagamentos e faturas on-line automaticamente para seus cursos e eventos on-line e off-line de CPD.","Управляйте онлайн-регистрациями, платежами и счет-фактурами для ваших онлайн и офлайн курсов и мероприятий автоматически.","Çevrimiçi ve çevrimdışı CPD kurslarınız ve etkinlikleriniz için çevrimiçi kayıtları, ödemeleri ve faturalandırmayı otomatik olarak kabul edin ve yönetin.",,管理您的线上注册与支付，为您线上和线下的 CPD 课程培训及活动进行自动化发票开具。
,Multiples monedas,múltiplas moedas,Множество валют,Birden çok para birimi,,多币种支持
,Administración de reembolsos fácil,Gerenciamento de Reembolso Fácil,Простое управление возвратами оплат,Kolay iade yönetimi,,快速退款管理
,Eventos en línea y presenciales,Eventos Online e Offline,Онлайн и оффлайн мероприятия,Çevrimiçi ve Çevrimdışı Etkinlikler,,线上 & 线下活动
,Duplicación de Curso,Duplicação de Curso,Дубликаты курсов,Ders Tekrarı,,课程内容轻松一键复制
,Marketing,Marketing,Маркетинг,Pazarlama,,内容营销
,Vende tus Cursos,Venda Seus Cursos,Распродайте Свои Курсы, Kurslarınızı Satın,,开启线上课程销售
,Aumenta tus venta con sofisticadas herramientas de marketing que te ayudarán a aumentar tus registros y acelerar el valor de tu marca.,Aumente as vendas com ferramentas de marketing sofisticadas que o ajudam a obter mais associações e acelerar o valor de sua marca.,"Увеличивайте продажи с помощью сложных маркетинговых инструментов, которые помогут вам собрать больше регистраций и повысить ценность вашего бренда.", Daha fazla kayıt almanıza ve marka değerinizi artırmanıza yardımcı olan sofistike pazarlama araçlarıyla satışları artırın.,,精细化的市场营销工具帮助您提升销售业绩，还能增加活动注册，扩大品牌效应。
,Conexión a Redes Sociales,Plug-ins de Redes Sociais,Плагины социальных сетей,Sosyal Medya Eklentileri,,页面与社交媒体平台互联
,Widgets de la Página Web,Widgets de Website,Виджеты,Web Sitesi Pencere Öğeleri,,网站嵌入工具
,Aplicación Glue Up Attendee,Aplicativo de participantes Glue Up,Приложение Glue Up для Участников,Glue Up Katılımcı Uygulaması,,Glue Up 参会者 App
,Comprende tu rendimiento,Entenda Seu Desempenho,Оцените Свою Производительность,Performansınızı Anlayın,,全方位掌握您的活动成效数据
,Obtén información instantánea sobre la rentabilidad de sus cursos y la participación de tus contactos y organizaciones en todas tus actividades en un solo lugar.,Obtenha percepções instantâneas sobre a lucratividade de seus cursos e o envolvimento de seus contatos e organizações em todas as suas atividades em um só lugar.,Получите мгновенное представление о прибыльности ваших курсов и взаимодействии контактов и организаций во всех ваших мероприятиях.,Kurslarınızın kârlılığı ve tüm etkinlikleriniz boyunca ilgili kişilerinizin ve kuruluşlarınızın katılımını tek bir yerden anında öğrenin.,,实时掌握您培训课程的收益数据，集中管理组织与各联系人互间的动数据。
,Información de reportaje CPD,Informações de relatório de CPD,Отчеты о повышении квалификации, CPD Raporlama Bilgileri,,CPD 报告信息
,Certificados,Certificados,Сертификаты,Sertifikalar,,证书
,Crea certificados impresionantes ,Crie Certificados Impressionantes,Создавайте потрясающие сертификаты,Çarpıcı Sertifikalar Oluşturun,,创建精美的证书
Design and issue great-looking certificates for attendees that meet the criteria and automate their distribution with the easy to use editor.,Diseña y entrega certificados excelentes para los asistentes que cumplan con los criterios y automatiza su distribución con un editor fácil de usar.,Projete e emita certificados atraentes para participantes que atendam aos critérios e automatizem sua distribuição com um editor fácil de usar.,"Разрабатывайте и выдавайте отличные сертификаты для участников, которые соответствуют заданным критериям, а также автоматизируйте их распространение с помощью простого в использовании редактора.",Kullanımı kolay düzenleyiciyle kriterleri karşılayan ve dağıtımlarını otomatikleştiren katılımcılar için harika görünümlü sertifikalar tasarlayın ve yayınlayın.,,您可使用 Glue Up 一体化云平台的编辑器，轻松设计出精美的证书，为符合要求的培训参与者们自动化颁发电子证书。
,Editor Certificado,Editor de Certificado,Редактор сертификатов,Sertifika Düzenleyici,,证书编辑器
,Seguimiento de créditos CPD / CPE,Rastreamento de Créditos de CPD/CPE,Отслеживание баллов для повышения квалификации,CPD / CPE Kredileri Takibi,,CPD/CPE 学分追踪
,Archivar ,Arquivar,Архив,Arşiv,,归档
,"Haz lo que ya es genial <span class=""line""><ins> Aún Mejor </ins></span>","Faça o Ótimo Ainda <span class=""line""><ins> Melhor </ins></span>","Сделайте отличное ещё <span class=""line""><ins> лучше </ins></span>","Hatta Mükemmel Yapın <span class = ""line""> <ins> Daha İyi </ins> </span>",,"不为最好，只为 <span class=""line""><ins> 更好 </ins></span>"
Connect the tools you love and use every day with the Glue Up platform or built your own connections with our API to maximize your workflows. ,"Conecta las herramientas que amas y usas todos los días con la plataforma Glue Up, o crea tus propias conexiones con nuestra API para maximizar sus flujos de trabajo.",Conecte as ferramentas que você adora e usa todos os dias com a plataforma Glue Up ou construa suas próprias conexões com nossa API para maximizar seus fluxos de trabalho.,"Объедините инструменты, которые вы любите и используете каждый день, с платформой Glue Up или постройте свои собственные соединения посредством API, чтобы оптимизировать ваши рабочие процессы.", Sevdiğiniz ve her gün kullandığınız araçları Glue Up platformuyla bağlayın veya iş akışlarınızı en üst düzeye çıkarmak için API'miz ile kendi bağlantılarınızı oluşturun.,,您可以将您常用或喜爱的工具与 Glue Up 云平台实现功能整合，或进行 API 集成，以实现工作效率最大化。
,Se aún más eficiente,Torne-se ainda mais eficiente,Станьте намного эффективнее,Daha da Verimli Olun,,更加高效管理
,Aumenta tu automatización,Leve a Automação Para o Próximo Nível,Увеличьте Свою Автоматизацию,Otomasyonunuzu Hızlandırın,,提升自动化程度
,Ahorra tiempo y elimina tareas manuales al conectar Glue Up a tu sistema favorito con conexiones fáciles a integraciones.,Economize tempo e elimine tarefas manuais conectando o Glue Up ao seu software favorito com fáceis integrações plug & play.,"Сэкономьте время и избавьтесь от ручных задач, подключив Glue Up к программному обеспечению с помощью простой интеграции Plug & Play.",Kolay tak ve çalıştır entegrasyonlarıyla Glue Up'ı en sevdiğiniz yazılıma bağlayarak zamandan tasarruf edin ve manuel görevleri ortadan kaldırın.,,将 Glue Up 一体化云平台与您喜爱的财务软件实现功能集成，可提升工作效率，消除繁琐的人工工作。
,Zoom,Zoom,Zoom,Zoom,,Zoom
,Ejecute todos sus eventos en y fuera de línea con facilidad al integrar Zoom con Glue Up para la mejor experiencia posible para los asistentes.,Realize todos os seus eventos online e offline com facilidade integrando o Zoom com o Glue Up para a melhor experiência possível para seus participantes.,"С легкостью проводите все ваши мероприятия и вебинары, интегрируя Zoom с Glue Up и обеспечивайте наилучший опыт участия.",Mümkün olan en iyi katılımcı deneyimi için Zoom'u Glue Up ile entegre ederek tüm çevrimiçi ve çevrimdışı etkinliklerinizi kolaylıkla çalıştırın.,,Glue Up 已与全球最大在线视频会议平台 Zoom 正式整合打通。现在，您可以直接在 Glue Up 一体化云平台上举办线上、线下会议与活动，为您的参会者提供最优质的活动体验。
,Salesforce,Salesforce,Salesforce,Satış Ekibi,,Salesforce 
,Próximamente,Em breve,Скоро,Çok yakında,,即将推出，尽请期待
,"Sincroniza los datos de contactos y propuestas de todas las actividades que ejecutas en Glue Up y optimiza los flujos de ventas, mercadotecnia y soporte.","Sincronize dados de contatos e negócios de todas as atividades que você executa no Glue Up e agilize os fluxos de trabalho para vendas, marketing e suporte.","Синхронизируйте данные контактов и сделок со всеми видами деятельности, которые вы выполняете на Glue Up, и оптимизируйте рабочие процессы для продаж, маркетинга и технической поддержки.","Glue Up'ta yürüttüğünüz tüm etkinliklerden kişi ve anlaşma verilerini senkronize edin ve satış, pazarlama ve destek için iş akışlarını kolaylaştırın.",,您通过 Glue Up 云平台举办活动收集的联系人数据和销售签单数据等，均能实现电脑端与移动端实时同步更新， 为您的销售、市场营销、服务支持实现流程简化，高效云端管理。
,Poderoso API,API Poderosa,Мощный API,Güçlü API,,强大的 API 功能集成
,Crea algo por ti mismo ,Crie algo sozinho,Постройте самостоятельно,Kendi Başınıza Bir Şey Yapın,,创建只属于您的集成功能
,Integra las herramientas de Glue Up a tu propia aplicación o sitio web de una forma rápida y sencilla usando nuestro poderoso API,"Integre os recursos do Glue Up em seu próprio aplicativo ou site de maneira rápida, fácil e segura usando nossas APIs poderosas.","Интегрируйте Glue Up со своим приложением или веб-сайтом быстро, легко и безопасно с помощью нашего мощного API.","Güçlü API'lerimizi kullanarak Glue Up özelliklerini kendi uygulamanıza veya web sitenize hızlı, kolay ve güvenli bir şekilde entegre edin.",,通过使用我们强大的 API，将 Glue Up 云平台的功能与您的应用程序或网站实现快速、便捷、安全的整合打通。
,Documentación  API detallada,Documentação API Detalhada,API документация,Ayrıntılı API Belgeleri,,详细的 API 文件
,Acceso de subdominio,Acesso de Subdomínio,Доступ к субдомену,Alt Alan Erişimi,,子域名访问
,Soporte técnico,Suporte técnico,Техническая поддержка,Teknik destek,,技术支持
,Widgets,Widgets,Виджеты,Pencere Öğeleri,,嵌入工具
,Muestre los Datos de Glue Up Automáticamente,Apresente os Dados do Glue Up Automaticamente,Отображайте данные Glue Up автоматически,Verileri Otomatik Olarak Yapıştırın,,数据自动化实时展示
,"Presenta datos importantes como eventos, directorio de membresías, aplicaciones y otras cosas que crees con la plataforma Glue Up para los visitantes de su sitio web en tiempo real con widgets fáciles de usar.","Apresente dados importantes como eventos, diretório de membros, aplicativos e outras coisas que você cria com a plataforma Glue Up para os visitantes do seu site em tempo real com widgets fáceis de usar.","Отображайте важные данные, такие как мероприятия, каталог членств, приложения и многое другое, то, что вы создаете с помощью платформы Glue Up для посетителей вашего сайта в режиме реального времени с помощью простых в использовании виджетов."," Glue Up platformu ile oluşturduğunuz etkinlikler, üyelik dizini, uygulamalar ve diğer şeyler gibi önemli verileri, kullanımı kolay widget'lar ile gerçek zamanlı olarak web sitesi ziyaretçilerinize sunun.",,您收到的各类注册与申请信息，均可与您的 CRM 联系人数据库，以及您通过 Glue Up 云平台创建的活动页面、会员目录、营销邮件等模块进行实时互联。
,Widgets de eventos,Widgets de Evento,Виджеты мероприятий,Etkinlik Pencere Öğeleri,,活动工具
,Herramientas parra membresías,Widgets de Associações,Виджет для членства,Üyelik Pencere Öğeleri,,会员工具
